frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
5,broadcast,7,7,1650,440,1712,520,62,80,1681.0,480.0,0.8965871930122375
5,broadcast,8,8,1467,417,1515,502,48,85,1491.0,459.5,0.8898849487304688
5,broadcast,9,9,825,611,900,714,75,103,862.5,662.5,0.8886967897415161
5,broadcast,10,10,1730,588,1766,693,36,105,1748.0,640.5,0.8747303485870361
5,broadcast,11,11,1551,482,1607,578,56,96,1579.0,530.0,0.8710684776306152
5,broadcast,12,12,1568,556,1625,659,57,103,1596.5,607.5,0.8645504117012024
5,tacticam,16,4,834,241,874,289,40,48,854.0,265.0,0.9340078234672546
5,tacticam,14,5,932,266,967,327,35,61,949.5,296.5,0.9260110259056091
5,tacticam,11,14,286,438,319,502,33,64,302.5,470.0,0.924773633480072
5,tacticam,10,3,319,794,371,867,52,73,345.0,830.5,0.922968327999115
5,tacticam,15,11,1009,144,1043,193,34,49,1026.0,168.5,0.9224910736083984
5,tacticam,1,9,301,521,344,589,43,68,322.5,555.0,0.9180490374565125
5,tacticam,3,12,1128,481,1156,543,28,62,1142.0,512.0,0.9131163358688354
5,tacticam,5,2,877,574,928,637,51,63,902.5,605.5,0.9125289916992188
5,tacticam,18,7,1476,223,1507,273,31,50,1491.5,248.0,0.9117790460586548
5,tacticam,8,8,1292,811,1338,889,46,78,1315.0,850.0,0.911657989025116
5,tacticam,19,27,558,92,591,141,33,49,574.5,116.5,0.9112856984138489
5,tacticam,7,29,1664,462,1694,523,30,61,1679.0,492.5,0.9104856252670288
5,tacticam,13,10,763,398,796,456,33,58,779.5,427.0,0.9027307033538818
5,tacticam,12,19,726,348,758,400,32,52,742.0,374.0,0.8979568481445312
5,tacticam,6,22,1134,348,1156,405,22,57,1145.0,376.5,0.8891102075576782
5,tacticam,4,20,924,198,956,247,32,49,940.0,222.5,0.8641252517700195
5,tacticam,20,17,874,146,905,188,31,42,889.5,167.0,0.8086268901824951
5,tacticam,21,16,899,157,929,205,30,48,914.0,181.0,0.769623339176178
5,tacticam,22,32,457,70,494,118,37,48,475.5,94.0,0.7374551296234131
5,tacticam,2,15,1715,323,1743,383,28,60,1729.0,353.0,0.7252407073974609
6,broadcast,2,2,1550,711,1651,833,101,122,1600.5,772.0,0.9321438074111938
6,broadcast,9,9,833,617,899,719,66,102,866.0,668.0,0.9251099824905396
6,broadcast,6,6,807,557,867,659,60,102,837.0,608.0,0.9221330881118774
6,broadcast,3,3,602,751,668,879,66,128,635.0,815.0,0.9215946793556213
